bin2_Pz	bin2_CPz	bin2_Cz	bin4_Pz	bin4_CPz	bin4_Cz	bin6_Pz	bin6_CPz	bin6_Cz	bin11_Pz	bin11_CPz	bin11_Cz	bin12_Pz	bin12_CPz	bin12_Cz	bin13_Pz	bin13_CPz	bin13_Cz	bin14_Pz	bin14_CPz	bin14_Cz	      ERPset
    -7.869	    -4.444	    -6.311	    -6.403	    -3.542	    -4.635	    -8.801	    -5.487	    -6.774	    -5.913	    -3.764	    -4.136	    -6.874	    -3.329	    -5.113	    -4.957	    -3.630	    -3.774	   -10.624	    -5.214	    -8.710	Tax_Them002_N400_erp_ar
     3.897	     2.985	     7.428	     6.493	     6.201	     9.743	     1.669	     1.530	     5.846	     7.103	     6.615	     9.734	     5.907	     5.803	     9.751	     3.959	     2.794	     7.083	     3.836	     3.171	     7.765	Tax_Them003_N400_erp_ar
     5.929	     3.626	     5.193	     8.963	     6.699	     8.456	     5.239	     3.202	     4.635	    10.329	     8.112	    10.190	     7.618	     5.308	     6.750	     7.648	     5.961	     7.710	     4.302	     1.418	     2.812	Tax_Them004_N400_erp_ar
    -0.809	     1.079	    -0.541	     0.035	     1.386	     0.116	    -1.137	     0.623	    -0.962	     0.123	     1.197	     0.133	    -0.044	     1.556	     0.102	    -1.518	     0.078	    -0.672	    -0.171	     1.980	    -0.423	Tax_Them006_N400_erp_ar
    -0.173	     0.162	    -0.326	     1.738	     1.601	     0.921	    -5.137	    -4.966	    -5.753	     1.177	     0.801	    -0.362	     2.328	     2.444	     2.274	     0.142	     0.485	    -0.663	    -0.505	    -0.179	     0.029	Tax_Them007_N400_erp_ar
     0.309	     0.018	     0.378	     1.054	     1.279	     2.239	    -0.776	     0.369	     0.574	     1.002	     2.049	     2.777	     1.105	     0.544	     1.725	     2.487	     0.894	     1.779	    -1.991	    -0.906	    -1.100	Tax_Them008_N400_erp_ar
    -0.287	     2.119	     0.900	     4.150	     4.702	     4.348	     2.610	     2.653	     3.062	     4.853	     5.802	     5.410	     3.398	     3.523	     3.210	    -0.420	     2.153	     1.008	    -0.147	     2.083	     0.786	Tax_Them009_N400_erp_ar
     9.958	     8.230	    13.146	    10.769	     9.664	    14.187	     6.352	     5.047	    10.569	    12.412	    11.626	    15.751	     9.149	     7.730	    12.646	    11.322	     9.482	    14.299	     8.629	     7.011	    12.024	Tax_Them010_N400_erp_ar
     6.715	     4.579	     7.172	     6.815	     3.962	     6.708	     2.833	     1.947	     4.697	     6.285	     3.454	     6.554	     7.352	     4.477	     6.864	     7.875	     4.947	     8.617	     5.555	     4.210	     5.727	Tax_Them011_N400_erp_ar
     5.333	     6.139	     6.303	     4.145	     4.073	     5.679	     2.299	     2.828	     3.318	     7.068	     5.914	     7.458	     0.578	     1.827	     3.509	     7.324	     8.461	     8.715	     3.343	     3.816	     3.891	Tax_Them012_N400_erp_ar
     1.302	     0.880	     3.857	    -1.421	    -1.549	     1.178	    -3.338	    -3.728	     0.322	    -0.129	    -0.569	     2.044	    -2.769	    -2.571	     0.275	     0.318	    -0.686	     3.256	     2.286	     2.446	     4.457	Tax_Them013_N400_erp_ar
    -0.782	    -0.168	    -2.146	     0.893	     0.601	    -1.740	     1.283	     0.358	    -0.494	    -1.078	     0.693	    -2.060	     3.104	     0.497	    -1.382	    -2.337	    -0.484	    -3.488	     0.774	     0.148	    -0.803	Tax_Them014_N400_erp_ar
    -0.126	     1.077	     0.581	     1.510	     1.779	     1.549	    -3.503	    -1.113	    -2.573	    -1.439	    -1.027	    -0.914	     4.032	     4.178	     3.655	     0.379	     2.474	     1.463	    -0.602	    -0.240	    -0.250	Tax_Them015_N400_erp_ar
    -1.153	    -0.193	     0.695	    -0.219	     0.118	     0.970	    -2.055	    -1.362	    -0.285	    -0.479	     0.161	     0.591	     0.082	     0.068	     1.408	    -1.362	    -0.157	    -0.006	    -0.939	    -0.231	     1.417	Tax_Them016_N400_erp_ar
     1.164	     4.122	     0.988	     5.207	     4.288	     5.039	     4.071	     5.906	     3.292	     6.347	     4.244	     6.799	     3.910	     4.338	     3.038	    -1.895	     1.533	    -3.078	     3.650	     6.226	     4.292	Tax_Them017_N400_erp_ar
     0.248	    -0.060	     0.525	    -0.355	    -0.914	    -0.301	    -0.921	    -1.843	    -0.996	     0.162	    -0.310	     0.020	    -0.872	    -1.518	    -0.621	    -0.213	    -0.634	    -0.261	     0.673	     0.469	     1.249	Tax_Them018_N400_erp_ar
    -4.105	    -3.443	    -3.526	    -2.695	    -2.943	    -2.575	    -6.234	    -6.318	    -5.615	    -2.276	    -2.486	    -2.289	    -3.092	    -3.377	    -2.847	    -2.601	    -1.901	    -2.653	    -5.688	    -5.066	    -4.446	Tax_Them019_N400_erp_ar
     0.872	     1.028	     0.064	     4.489	     2.538	     3.669	     1.941	    -0.003	     0.772	     7.536	     5.031	     6.678	     1.345	    -0.034	     0.564	     0.312	    -0.069	    -0.533	     1.368	     1.999	     0.592	Tax_Them020_N400_erp_ar
    -0.906	    -0.406	    -0.558	     0.660	     1.380	     0.849	    -2.835	    -2.145	    -3.200	    -0.059	     0.623	     0.350	     1.379	     2.136	     1.347	    -0.739	    -0.496	     0.086	    -1.065	    -0.322	    -1.167	Tax_Them021_N400_erp_ar
    -4.347	    -2.824	    -3.040	    -4.537	    -2.985	    -2.538	    -5.538	    -4.225	    -3.667	    -4.401	    -2.561	    -2.439	    -4.674	    -3.410	    -2.637	    -4.049	    -2.742	    -3.032	    -4.600	    -2.893	    -3.047	Tax_Them022_N400_erp_ar
    -2.553	     0.179	    -2.910	    -1.305	     1.373	    -1.515	    -3.196	     0.116	    -2.020	    -1.750	     1.580	    -1.979	    -0.854	     1.163	    -1.045	    -2.887	    -0.177	    -3.349	    -2.201	     0.555	    -2.447	Tax_Them023_N400_erp_ar
